Date,Content
2021-04-08 4:31,"Miner payment: 0.2007 ETH (770 GWEI @ 260,427 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0x78b07d0762a73871e0277f38382550f670437d1cc09c5ddc8871e57596abf078
Miner: SpiderPool"
2021-04-08 4:32,"Miner payment: 0.1024 ETH (250 GWEI @ 409,431 gas [3])
0x0000..9241
https://etherscan.io/tx/0xe042d8bb629deb8c0de2913480afb9af716736055c1b1a4a90a8dbbd365dbb57
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:32,"Miner payment: 0.0125 ETH (75 GWEI @ 165,443 gas [2])
0xaE9e..1a5D
https://etherscan.io/tx/0x3d5b9618877fb0eafb3281e5e0418b9cfbcefe1a2d769c0ec71c73115d0dd516
Miner: UUPool"
2021-04-08 4:33,"Miner payment: 0.1231 ETH (512 GWEI @ 240,404 gas [3])
0x2222..2222
https://etherscan.io/tx/0xda1307b06be2e5e5723d91045b0395022ac22b692811b1e2456058bd02ffcc21
Miner: UUPool"
2021-04-08 4:34,"Miner payment: 0.6146 ETH (488 GWEI @ 1,257,095 gas [1])
0x5Abb..aa93
https://etherscan.io/tx/0x9768d7c665ea8f2581e6ff9fcc36fa6f45a8c6e4f1c6eb511d961140d8eafce4
Miner: Sparkpool"
2021-04-08 4:35,"Miner payment: 0.0834 ETH (309 GWEI @ 269,696 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xf4e84127e84837fcb81369e574d723ebe2b05e98007f663157b51b33f533d79f
Miner: f2pool"
2021-04-08 4:35,"Miner payment: 0.0668 ETH (238 GWEI @ 279,893 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0x86aa5ccf2ea3365e5f28c723b4c7e86e13492e660fdb57c5ef9257681503aeaf
Miner: 0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8"
2021-04-08 4:35,"Miner payment: 0.434 ETH (1,596 GWEI @ 271,788 gas [3])
0x0000..0084
https://etherscan.io/tx/0x97ae6d6eb19dde8b622c62a6d08a9da101618b4e1769a139e1d3e1ce758941e2
Miner: Sparkpool"
2021-04-08 4:36,"Miner payment: 0.0652 ETH (210 GWEI @ 309,521 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0xd266ea79261081eb673a79a4a79bdb53addc848a4787f33a45f17714efc59e05
Miner: f2pool"
2021-04-08 4:36,"Miner payment: 0.1116 ETH (379 GWEI @ 294,131 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x02ee1fe49b1b04aad4ef54d8fca534ef08c93d3849e51bd04ed494fec690cc57
Miner: Sparkpool"
